scenarioID [],i [],V [V],wireGauge [],turns [],radius [m],wireGauge_car [],turns_car [],radius_car [m],height [m],spacing [m],velocity [m/s],totalCharge [C],cost [$],cost/charge [$/C],,best for the money,,most overall
22787,2849,100,6,410,2,8,260,1.9,0.3,0.36,30,1,803450.9796,803450.9796,,,,
3331,417,100,6,410,2,8,260,2.1,0.15,0,30,1,875761.5678,875761.5678,,,,
11523,1441,100,6,410,2,8,260,2.1,0.15,0.18,30,1,838049.3472,838049.3472,,,,
19715,2465,100,6,410,2,8,260,2.1,0.15,0.36,30,1,803450.9796,803450.9796,,,,
7427,929,100,6,410,2,8,260,2.1,0.3,0,30,1,875761.5678,875761.5678,,,,
15619,1953,100,6,410,2,8,260,2.1,0.3,0.18,30,1,838049.3472,838049.3472,,,,
23811,2977,100,6,410,2,8,260,2.1,0.3,0.36,30,1,803450.9796,803450.9796,,,,
261,33,100,6,410,2,8,290,1.5,0.15,0,30,1,875761.5678,875761.5678,,,,
8453,1057,100,6,410,2,8,290,1.5,0.15,0.18,30,1,838049.3472,838049.3472,,,,
16645,2081,100,6,410,2,8,290,1.5,0.15,0.36,30,1,803450.9796,803450.9796,,,,
4357,545,100,6,410,2,8,290,1.5,0.3,0,30,1,875761.5678,875761.5678,,,,
12549,1569,100,6,410,2,8,290,1.5,0.3,0.18,30,1,838049.3472,838049.3472,,,,
20741,2593,100,6,410,2,8,290,1.5,0.3,0.36,30,1,803450.9796,803450.9796,,,,
1285,161,100,6,410,2,8,290,1.7,0.15,0,30,1,875761.5678,875761.5678,,,,
9477,1185,100,6,410,2,8,290,1.7,0.15,0.18,30,1,838049.3472,838049.3472,,,,
17669,2209,100,6,410,2,8,290,1.7,0.15,0.36,30,1,803450.9796,803450.9796,,,,
5381,673,100,6,410,2,8,290,1.7,0.3,0,30,1,875761.5678,875761.5678,,,,
13573,1697,100,6,410,2,8,290,1.7,0.3,0.18,30,1,838049.3472,838049.3472,,,,
21765,2721,100,6,410,2,8,290,1.7,0.3,0.36,30,1,803450.9796,803450.9796,,,,
2309,289,100,6,410,2,8,290,1.9,0.15,0,30,1,875761.5678,875761.5678,,,,
10501,1313,100,6,410,2,8,290,1.9,0.15,0.18,30,1,838049.3472,838049.3472,,,,
18693,2337,100,6,410,2,8,290,1.9,0.15,0.36,30,1,803450.9796,803450.9796,,,,
6405,801,100,6,410,2,8,290,1.9,0.3,0,30,1,875761.5678,875761.5678,,,,
14597,1825,100,6,410,2,8,290,1.9,0.3,0.18,30,1,838049.3472,838049.3472,,,,
22789,2849,100,6,410,2,8,290,1.9,0.3,0.36,30,1,803450.9796,803450.9796,,,,
3333,417,100,6,410,2,8,290,2.1,0.15,0,30,1,875761.5678,875761.5678,,,,
11525,1441,100,6,410,2,8,290,2.1,0.15,0.18,30,1,838049.3472,838049.3472,,,,
19717,2465,100,6,410,2,8,290,2.1,0.15,0.36,30,1,803450.9796,803450.9796,,,,
7429,929,100,6,410,2,8,290,2.1,0.3,0,30,1,875761.5678,875761.5678,,,,
15621,1953,100,6,410,2,8,290,2.1,0.3,0.18,30,1,838049.3472,838049.3472,,,,
23813,2977,100,6,410,2,8,290,2.1,0.3,0.36,30,1,803450.9796,803450.9796,,,,
263,33,100,6,410,2,8,320,1.5,0.15,0,30,1,875761.5678,875761.5678,,,,
8455,1057,100,6,410,2,8,320,1.5,0.15,0.18,30,1,838049.3472,838049.3472,,,,
16647,2081,100,6,410,2,8,320,1.5,0.15,0.36,30,1,803450.9796,803450.9796,,,,
4359,545,100,6,410,2,8,320,1.5,0.3,0,30,1,875761.5678,875761.5678,,,,
12551,1569,100,6,410,2,8,320,1.5,0.3,0.18,30,1,838049.3472,838049.3472,,,,
20743,2593,100,6,410,2,8,320,1.5,0.3,0.36,30,1,803450.9796,803450.9796,,,,
1287,161,100,6,410,2,8,320,1.7,0.15,0,30,1,875761.5678,875761.5678,,,,
9479,1185,100,6,410,2,8,320,1.7,0.15,0.18,30,1,838049.3472,838049.3472,,,,
17671,2209,100,6,410,2,8,320,1.7,0.15,0.36,30,1,803450.9796,803450.9796,,,,
